,sector,cve_mun,municipio,geometry
0,ABASTO-REFORMA,9007,IZTAPALAPA,"POLYGON ((2808283.8350377358 819339.2066529668, 2808174.6394721265 819383.1502839845, 2807980.6017490425 819471.5467529341, 2807971.713245671 819479.1328720322, 2807925.5659469888 819507.4418514862, 2807897.4910722193 819520.9435107108, 2807626.544905093 819653.2995475616, 2807182.796999202 819839.4386397362, 2806459.7655360056 820173.2871426445, 2806315.5885817846 820238.9316864385, 2805704.7002183883 820515.9210639526, 2805626.2152509578 820553.8729272913, 2805373.335097065 820668.0843195482, 2805219.6023104116 820765.9830516602, 2804903.7653521793 820980.1940053875, 2804848.0589663447 820983.5834914681, 2804471.95705882 820862.8352278719, 2803977.0381005066 820719.9323282975, 2803971.7706955015 820729.1307740394, 2803750.995179579 820686.4393225047, 2803887.0066250777 821111.6526389507, 2803778.639501519 821136.9927365753, 2803893.422424701 821400.4486326859, 2803967.275335985 821577.9652252009, 2804034.242676869 821536.7195067991, 2804094.9852978196 821712.0380008573, 2804110.595127054 821758.9714088546, 2804133.1948240823 821900.2051124042, 2804136.7084091078 821909.7158603616, 2804020.1102994727 821942.7348058171, 2803640.8021790083 822061.7609568525, 2803622.460892396 822064.5820167084, 2803519.6713244454 822094.3774041836, 2803509.1174951605 822106.5283565823, 2803372.2947140723 822308.572222557, 2803475.3744430207 822382.3144414118, 2803494.63190197 822396.72152922, 2803537.002321397 822423.6805080797, 2803678.8457308114 822528.1269298017, 2803812.6931552202 822624.9363419523, 2803877.3883740045 822676.2822637466, 2803908.0544668552 822686.0673065109, 2803980.775103634 822751.4372307109, 2804029.2971782065 822845.7424662068, 2804066.6772493143 822941.3226114511, 2804204.689281232 823212.7982870645, 2804216.695159834 823235.614507458, 2804232.7184229037 823274.186056301, 2804211.015603168 823287.1814575979, 2804509.0141087095 823769.1264627349, 2804928.6796876783 824481.7915982398, 2805157.730548453 824452.1329556709, 2805346.9642085982 824406.8721181604, 2805401.799511117 824745.5565987506, 2805827.941239194 824523.2803501224, 2806367.4914600872 824243.7418618244, 2807287.9912021924 823763.3276753193, 2807323.8774666837 823759.4669277277, 2807855.361887703 823685.7601087373, 2807853.342760394 823588.8518154011, 2807865.237017296 823494.6674185528, 2807888.9305109438 823350.718508868, 2807913.922049673 823238.4311732793, 2807957.004160535 823090.6862960928, 2808002.3159998497 822975.7285105201, 2808022.5466059097 822919.7565776999, 2808017.1125987186 822849.3120482769, 2808139.6836393056 822527.4749564958, 2808229.064632092 822578.1617818526, 2808842.8040460404 822389.8433395381, 2808847.252185855 822436.1558656333, 2808726.2097338066 822671.9301331326, 2808993.7868929035 822629.3474685681, 2809026.500150049 822543.7666383097, 2809022.223092282 822412.3618416173, 2809020.467208232 822380.1614045731, 2808989.3518752935 822380.1009487743, 2808984.665841201 822286.4372933811, 2808951.118002296 822285.069370059, 2808944.4536088817 822069.7346617439, 2808905.8405198795 822071.3529209138, 2808903.128143253 822017.5749470972, 2808826.534726666 822023.6092197038, 2808814.746271882 821788.4038583642, 2808619.4532327405 821807.4452469473, 2808645.2321597924 822258.6167544351, 2808175.4472864186 822375.6655437431, 2808372.0279839234 821860.0575302675, 2808370.5268967547 821802.2536646173, 2808332.257033482 821554.9938130289, 2807259.761238304 821654.1955987284, 2807389.7741349526 821484.8952075086, 2807456.984635842 821395.722360856, 2807488.9655295894 821361.0128062561, 2807506.1625359217 821437.1110358746, 2807647.8636685335 821411.7020654707, 2807613.4172384953 821222.8724422626, 2807943.0398376454 821200.1936719904, 2807797.1344583207 820472.9833256055, 2807844.5995669593 820479.7290647585, 2807915.441583998 820478.8711718238, 2808043.311916616 820457.8334289675, 2808056.3363386667 820513.094268421, 2808062.8130509336 820526.049753952, 2808083.162446144 820538.5853303774, 2808110.830513071 820533.9536887007, 2808120.5900314543 820525.2086728339, 2808126.9272676297 820503.0143402517, 2808115.8848902644 820443.4539734983, 2808781.1278318614 820285.5549211183, 2808741.44866563 820111.3973819297, 2808498.6487828344 820166.5309863201, 2808422.324370906 820185.6112002421, 2808367.737537992 819917.4642564341, 2808320.049461204 819923.8022338991, 2808263.855160575 819639.2109616641, 2808340.2873389665 819617.7085275234, 2808283.8350377358 819339.2066529668))"
1,ALPES,9010,ALVARO OBREGON,"POLYGON ((2786290.4111194503 814710.2233127612, 2786259.251223903 814684.6296157122, 2786215.660157187 814657.8011225138, 2786212.2636148226 814655.7159329362, 2786166.512779406 814637.8139577471, 2786115.8038519914 814615.8175702041, 2786075.276303821 814592.0266633804, 2786045.348973046 814554.5159909228, 2786017.747763024 814517.9903300885, 2785990.8703410244 814488.5944239675, 2785976.5363918934 814469.0738439631, 2785928.9316943097 814435.3397928766, 2785866.842056214 814402.125317316, 2785839.4614814003 814426.7725754987, 2785829.6767297946 814443.2529173805, 2785822.6919755144 814465.5764268341, 2785819.3147940175 814490.139206724, 2785821.3307584953 814537.2619803131, 2785820.8498718813 814562.6030095598, 2785813.5771789053 814600.125595247, 2785782.7872445174 814648.0785563684, 2785769.876293647 814675.7182106627, 2785767.9463338293 814700.3106719936, 2785771.8256478193 814726.4599592669, 2785778.832057075 814741.0811807469, 2785788.4834967298 814770.2417948395, 2785802.5545703247 814796.5815708975, 2785824.9538938296 814844.8117121526, 2785828.8339218586 814870.9709280967, 2785815.005816205 814908.3676096266, 2785797.1046265946 814929.759124064, 2785786.4998533055 814951.2894020748, 2785780.2024684763 814975.7921150118, 2785778.1908489433 815004.734188479, 2785790.7542412183 815033.9445800743, 2785813.427565891 815067.6940675764, 2785811.3292895164 815501.229352399, 2785774.260692592 815507.6491048466, 2785746.2947616177 815520.4127861044, 2785737.6721049836 815540.7573117166, 2785734.7796535403 815581.7413367981, 2785756.050757947 815644.7631120692, 2785753.4037713255 815673.4422740565, 2785742.0009732703 815679.3630838282, 2785723.515306372 815679.9997654431, 2785704.538279372 815654.9857744023, 2785657.7714715595 815634.528969015, 2785642.2571294946 815640.3650784856, 2785635.8094994025 815654.5989926201, 2785646.3544107187 815690.7220458017, 2785638.709286742 815713.1420836111, 2785618.071344573 815718.8719936135, 2785576.8859367967 815726.2352423426, 2785564.0884881984 815749.5665330813, 2785563.7083805115 815768.0251707345, 2785593.039732359 815937.922903759, 2785610.3970946427 816042.7963582933, 2785654.1308779786 816159.7749982118, 2785675.0798808825 816188.9290647913, 2785708.7971382085 816195.7783349954, 2785769.1065222817 816206.2590069895, 2785786.2255227147 816222.005281557, 2785782.4253658312 816307.0775966874, 2785785.485518415 816357.4222710853, 2785791.778466627 816400.6408397455, 2785838.637394855 816417.0002576603, 2785867.7863538587 816446.3226532935, 2785890.001029071 816513.4736303842, 2785896.3714883868 816565.3242380164, 2785886.3766303 816616.3279855888, 2785876.079234025 816719.2142664421, 2785875.6861298145 816817.3944945268, 2785838.289671202 816885.3532591836, 2785733.089993231 816987.9204713164, 2785638.6025551073 817046.5323207997, 2785576.3493231377 817050.1584190569, 2785532.622354354 817027.9780072485, 2785494.242265481 816984.6381727515, 2785442.84538951 816937.7676365864, 2785342.3726049457 816889.8769482768, 2785162.9395554787 816783.0752979243, 2785075.9888612214 816714.1928292608, 2785017.7757104 816680.2610915886, 2784885.650059636 816500.8063524037, 2784883.16583768 816507.1706352276, 2784825.6001900397 816409.3721095987, 2784801.2700463254 816317.0372357661, 2784813.560796259 816197.5801373259, 2784834.6845912696 816127.5103014065, 2784755.8234718964 816055.372153218, 2784733.4240411576 815991.1405616127, 2784721.4635994947 815907.0311815552, 2784715.1633119816 815797.3578873826, 2784713.9603962153 815689.5056285567, 2784683.357852894 815596.4519403978, 2784582.757111255 815495.1035213195, 2784508.0846065506 815464.4743562827, 2784451.9473765525 815447.9157953049, 2784374.508372009 815468.56954617, 2784272.160120076 815534.9243406419, 2784229.3919502273 815534.0436268882, 2784156.887219765 815481.212062282, 2784103.411621962 815418.4957185976, 2784032.0193551173 815394.7685594455, 2783927.454741606 815402.8939621492, 2783905.3426614087 815479.4587721511, 2783890.2492406303 815547.6082930336, 2783903.74518054 815640.3106228661, 2783886.905325424 815710.1394719143, 2783859.906900896 815774.6214267347, 2783816.3655369566 815811.3875805129, 2783756.1303282054 815827.2584991433, 2783699.9239236126 815814.1208384485, 2783632.3393659657 815771.6572534029, 2783577.667582061 815767.1100813601, 2783513.7031393424 815798.3091567124, 2783454.83533782 815831.3380313882, 2783430.0061331424 815873.6164947933, 2783412.1950584347 815907.4806340024, 2783338.8463576552 815895.6959437834, 2783282.7449200787 815877.4322674146, 2783174.742054057 815719.4560329455, 2783082.852721489 815943.4975402156, 2783123.087227308 816067.5559171517, 2783075.6187579595 816212.0589304405, 2783036.5280871363 816365.2928020539, 2782948.671241633 816476.4516107872, 2783066.0402284125 816511.3879225878, 2783159.495090056 816544.11792567, 2783202.3686784324 816539.861480001, 2783281.6441501705 816430.2426984737, 2783345.151498741 816421.28363658, 2783394.760979914 816422.3030434471, 2783449.8554403377 816406.3173062267, 2783499.3952043857 816410.7572757361, 2783522.289043351 816462.5784330476, 2783528.4143076064 816580.7969346164, 2783521.6290130736 816661.1073360387, 2783462.2687988626 816718.0804896612, 2783394.355515683 816774.8759657466, 2783348.40041636 816845.8115529771, 2783249.238040685 816924.2135005342, 2783277.6590364464 817123.340376244, 2783395.941938001 817113.791403087, 2783401.3556809383 817100.2152034856, 2783488.635752412 817100.2937962173, 2783597.2746180776 817143.6017021055, 2783673.9742299393 817158.8768204786, 2783697.606460415 817174.766682421, 2783833.3450068934 817297.4073183312, 2783842.675413378 817322.1910040712, 2783928.447049365 817456.7818494716, 2783950.5506366184 817498.2298950794, 2783970.6795284715 817556.0382004946, 2783986.294874561 817594.0713259847, 2784086.9883792237 817720.7681010785, 2784133.572819977 817767.638636932, 2784151.2975311833 817782.7682462549, 2784172.539555246 817786.4777369382, 2784195.653580525 817778.762502382, 2784205.8272744366 817762.5706493255, 2784206.2317305487 817742.905014445, 2784169.0876872404 817635.5533331977, 2784147.7597567826 817556.4004272403, 2784152.281082946 817495.8264027215, 2784159.5865760637 817459.8914300805, 2784183.004326265 817437.417211834, 2784290.715202662 817382.2497047308, 2784308.7778643966 817380.9751022564, 2784323.430849839 817386.1952635909, 2784290.1088971645 817411.7477216953, 2784246.182914995 817474.792449345, 2784234.2038534805 817499.1478624644, 2784235.1657624636 817531.9601008015, 2784239.4430233706 817563.2043394829, 2784470.9491765182 818105.8177014502, 2784490.0392468628 818134.0941531732, 2784509.375038031 818150.8842385351, 2784541.979963641 818159.7555943844, 2784583.0974562145 818154.0468633532, 2784622.8303296193 818135.1814480461, 2784699.2348830123 818087.5601610237, 2784795.2235568934 818034.686333827, 2784878.002286572 818005.9722902366, 2784927.066588652 818000.7066211599, 2784969.758630925 818001.5857998469, 2784986.1432169406 818009.8446857638, 2784996.9347403077 818025.6000618213, 2785001.312637343 818046.7496742556, 2785001.9768078923 818073.2310064933, 2784997.996280754 818118.3225821612, 2784972.9493667246 818142.3587376776, 2784924.9470469537 818169.1845637789, 2784901.613396141 818189.9841929565, 2784884.682618229 818217.4501074218, 2784882.54111974 818241.9571266215, 2784893.6521061943 818258.547596174, 2784908.3069709428 818262.121085087, 2784923.26398107 818250.9766057302, 2784938.389910191 818231.6443374209, 2784962.956094234 818230.5137598774, 2785008.2525276826 818255.9978058118, 2785032.583693504 818266.3152761739, 2785124.0771398465 818273.1077878935, 2785253.518985696 818344.5097529979, 2785395.9707265035 818419.4422787053, 2785467.302286965 818452.0079320057, 2785513.069179101 818454.5866226187, 2785830.5873589064 818610.0432017997, 2785923.143866283 818644.6719746055, 2786016.7304801876 818708.7914470846, 2786097.1314439354 818777.5392072091, 2786137.686038584 818794.7353901594, 2786198.141249973 818799.2531049306, 2786229.4899304165 818786.8103042825, 2786233.0587078277 818772.1579431052, 2786223.314617588 818768.6855459358, 2786162.8676694874 818764.1678884113, 2786149.816633058 818762.2632426778, 2786148.415121174 818750.7808876802, 2786151.98399468 818736.1196727372, 2786167.009054717 818721.7042508944, 2786239.551872454 818695.3743267816, 2786265.655065758 818699.1849114262, 2786299.8056259356 818709.7146959177, 2786330.53910247 818726.7088162308, 2786345.1599250427 818731.9192662064, 2786359.949196976 818728.9507930446, 2786364.1176086767 818719.5199136276, 2786369.5813832525 818658.7862039242, 2786366.284868155 818639.0756028312, 2786375.9000165663 818631.6110718247, 2786427.687222671 818622.3625270588, 2786440.206147039 818615.7372710936, 2786451.5083964877 818601.5238364568, 2786461.6203704868 818578.3382333294, 2786473.6896570544 818560.0102611197, 2786491.6833461504 818554.8739147579, 2786532.225197884 818557.0866981554, 2786550.302892094 818547.8217464733, 2786557.527609692 818531.4594027331, 2786559.527776789 818467.5229393766, 2786674.9162495905 818511.7312700923, 2786683.281728767 818522.6477161873, 2786737.971559175 818555.7895767002, 2786800.650633331 818591.758154552, 2786871.1322741187 818620.3462937557, 2786951.732419608 818661.0451889264, 2787056.8861144832 818718.0126355151, 2787195.335971212 818801.7844261008, 2787263.08439646 818850.4589886371, 2787364.094588234 818953.5318798559, 2787479.962184864 819065.500151868, 2787560.198438856 819133.7656354029, 2787689.0776687907 819239.5577378041, 2787705.9032788663 819257.0942877211, 2787704.265214664 819336.5611603563, 2787704.001151366 819402.4490836898, 2787713.3208242133 819435.6529660838, 2787728.2900996967 819461.4608224526, 2787743.894839843 819480.7879513393, 2787771.425678445 819503.8621227335, 2787867.2003169195 819564.3571667766, 2787949.6653039446 819615.070879702, 2788005.217349964 819516.185159455, 2788040.901624665 819526.148781383, 2788171.071529991 819569.6559361465, 2788242.7959143636 819581.8802087879, 2788301.565466974 819597.0590656259, 2788341.953997621 819618.303198498, 2788388.013049679 819624.630197273, 2788442.9116598335 819619.3181509563, 2788606.500250277 819552.8583445852, 2788745.2372408295 819508.153744658, 2788689.6894462695 819392.9893297746, 2788658.7493850263 819356.0770932169, 2788622.055071019 819330.498963633, 2788580.959411571 819317.2403978382, 2788539.7577678175 819309.4968539734, 2788447.8431398384 819286.9106139239, 2788404.020690195 819272.2190125826, 2788375.56240721 819248.1873696622, 2788373.2049451275 819228.8355639008, 2788398.1599662676 819222.4561931929, 2788431.1728527904 819225.9008423398, 2788494.2321482054 819243.7419010245, 2788550.542097518 819254.5610006044, 2788622.123267519 819260.1776983995, 2788685.3250929797 819271.1285975829, 2788745.2795070885 819305.4563753126, 2788823.0702032424 819344.2928437686, 2788880.2496553175 819379.9511782024, 2788919.821268557 819400.0716380503, 2789112.258482563 819428.8630699217, 2789126.212767806 819420.8710913858, 2789119.7185444217 819401.432949061, 2789043.984658338 819329.5471848594, 2788957.059329046 819265.700417332, 2788886.4167111637 819214.6010466671, 2788795.3551495546 819150.6800541151, 2788675.4643325987 819080.636794457, 2788589.570655027 819033.3627613452, 2788557.0705543533 819005.1073583994, 2788546.6384255453 818975.9410160918, 2788552.632230793 818952.6203441079, 2788568.109973534 818937.7754842934, 2788609.42485217 818940.004321957, 2788646.5550274993 818944.9108094168, 2788855.511934601 819041.6021834087, 2788930.4617499355 819084.5204608992, 2789044.87005014 819153.0636747481, 2789135.875308547 819219.7485635474, 2789227.969810425 819300.252291173, 2789287.1705397484 819371.0986192381, 2789360.686782888 819430.0288085728, 2789530.818716742 819556.4677678139, 2789641.272630631 819609.6568655585, 2789798.9133008607 819659.2104084613, 2789999.4769244357 819728.3364049098, 2790084.586295553 819750.1361052303, 2790017.3331541074 819781.2404336868, 2789965.7762985113 819813.2066332195, 2789966.1871783896 819827.9701641074, 2789973.4614212653 819839.1245436489, 2789984.8241504915 819845.8533259123, 2790217.8578527896 819919.191580756, 2790994.891001761 820070.5265668321, 2791173.080476312 820135.7206384784, 2791361.437762963 820192.6260983708, 2791402.0343550374 820212.4693121056, 2791426.6765508726 820229.9882540747, 2791445.660076785 820255.3907468366, 2791468.7285542376 820300.8700784466, 2791500.548352484 820358.0432450718, 2791524.0097875386 820408.7976384115, 2791540.0172037454 820457.1341648167, 2791571.454393784 820520.92312965, 2791624.2696426166 820578.5293427777, 2791716.082300794 820660.9543980171, 2791769.891764192 820707.0795766977, 2791793.714882212 820740.3234570782, 2791804.8439418236 820746.0598273369, 2791818.442593193 820741.3425448146, 2791852.8180821985 820760.0503495596, 2791896.684208668 820778.9636107467, 2791912.1534245666 820792.7908896633, 2791920.9031740064 820804.9739707386, 2791927.809834234 820833.8673143003, 2791933.60813754 820843.4946035311, 2791966.556014199 820858.4311171366, 2791997.6752119632 820865.0706314653, 2792009.0177561017 820872.8074019707, 2792011.22970526 820898.7412201825, 2791938.2132526333 821093.2126302008, 2791944.8978230027 821095.8354507814, 2792052.9737585615 821186.3175958465, 2792087.362916934 821233.7873751263, 2792114.800215287 821301.9121089597, 2792143.4275877187 821376.5561296714, 2792166.651620743 821392.6088973697, 2792313.39702712 821444.8548229317, 2792414.5428907066 821488.4166962209, 2792534.7982235667 821490.7635486018, 2792645.0446586246 821484.9419442334, 2792650.2167596053 821484.6695395821, 2793103.5429656687 821474.2114814676, 2793347.1829143316 821472.785753157, 2793777.184711255 821435.9907586209, 2793767.1881800545 821355.2569245643, 2793925.740043678 821364.9317649262, 2794039.786306611 821367.1614314589, 2794132.6318933335 821354.1882631745, 2794240.7457763716 821321.7888730774, 2794243.441892974 821275.4058369608, 2794227.99551191 821121.2841255615, 2794183.462455567 821020.930179523, 2794112.2493668855 820934.0001719876, 2794031.6460158713 820849.9890095944, 2793868.449418765 820703.6829907682, 2793742.648765581 820626.5086693885, 2793613.242011684 820574.1103298262, 2793514.8173310077 820525.4649121722, 2793455.346137099 820471.4115715895, 2793408.126655743 820395.0839968689, 2793368.524533853 820321.996602414, 2793331.8272722387 820229.027967614, 2793294.07145104 820066.2627036537, 2793270.3173865965 819972.7926166705, 2793258.918780327 819898.5621913512, 2793216.874442667 819702.0580008134, 2793196.720867168 819662.8328650364, 2793144.308931382 819458.4120625515, 2793122.810704256 819304.0018934386, 2793085.6888170615 818851.5244060366, 2793047.695297411 818689.0510414802, 2792984.1222469127 818562.7215978742, 2792914.507789761 818462.0070271472, 2792712.007558143 818273.1754442862, 2792645.7196468175 818296.0578263793, 2792485.5282163695 818239.283058295, 2792590.8646019064 818443.7131125774, 2792524.32108327 818448.7128222982, 2792409.5810824125 818393.9246440621, 2792329.8236269867 818334.4024500113, 2792287.389224387 818301.5600135128, 2792217.786270229 818253.9512004426, 2792190.2150246883 818251.5458198495, 2792074.3282350176 818268.932956904, 2791977.834804576 818279.1404752705, 2791960.327601142 818278.6390836026, 2791829.9168468863 818263.852646916, 2791793.404593167 818254.1696578504, 2791779.8242362607 818240.0211610064, 2791766.9038637 818200.35720106, 2791757.666550814 818181.8900235884, 2791742.90127683 818163.0185184204, 2791720.3757043607 818149.7331030885, 2791696.6889573364 818140.9231592204, 2791652.419447241 818134.331464577, 2791626.7725057444 818125.2119812738, 2791600.335008474 818099.7446886628, 2791585.2606134876 818082.6923578632, 2791562.5893499865 818068.0982309453, 2791507.732976299 818054.2244415045, 2791453.74574493 818033.3060748135, 2791401.315475193 818014.2950166904, 2791350.4687783616 817999.117267294, 2791309.4287232547 817997.4515351179, 2791255.976090684 818000.457315535, 2791107.5510237287 817956.7579496234, 2791060.505918887 817937.5388582714, 2790992.076807862 817897.6063086459, 2790939.6713678073 817886.1381481512, 2790888.9209695887 817869.0283867551, 2790857.9448208953 817849.4033717846, 2790821.642519 817839.8935170496, 2790792.3893972896 817839.6486382851, 2790783.644209699 817820.4827318138, 2790765.353175011 817796.171503946, 2790734.391391487 817771.5091304044, 2790641.235858998 817743.5360113656, 2790574.230902072 817731.8573969721, 2790523.1645547748 817719.2793896256, 2790465.488172171 817695.3022943712, 2790400.105838154 817654.8549703103, 2790299.7720900746 817590.4101664867, 2790253.3902893984 817574.1277718224, 2790192.447905142 817556.0793287891, 2790147.67271718 817532.5182111635, 2790083.9827636494 817470.6162983688, 2790040.474173382 817421.5415736566, 2789927.3464853275 817302.8794479434, 2789807.730541828 817228.2207024836, 2789698.1297875694 817130.7524914483, 2789673.3188156486 817099.8711675886, 2789631.427798967 817062.073719203, 2789597.7296452043 817024.4442082662, 2789565.919206899 816975.8710651611, 2789531.0135125434 816954.4384495982, 2789503.2323639677 816943.859374626, 2789456.7809103825 816934.5304430953, 2789405.9030051464 816934.2979335979, 2789352.0502725914 816940.7189107002, 2789306.995481446 816939.849196183, 2789275.5711649465 816933.1750906805, 2789230.2369679073 816914.3114541963, 2789210.5617469624 816912.8286817078, 2789193.2411697144 816914.4760502267, 2789168.1602352834 816926.9089050591, 2789143.941528637 816943.4490049912, 2789120.2230232116 816966.8429513689, 2789085.4253259883 817004.8151227818, 2789012.2923601414 817156.1067141152, 2788966.1465207683 817221.7078186233, 2788949.5110210525 817248.7402916135, 2788924.956573909 817283.1624450732, 2788855.6121763745 817319.033265462, 2788830.5787769416 817329.1522793979, 2788777.132312623 817345.009648899, 2788750.7331282124 817344.3952312411, 2788724.3944193367 817340.4697992259, 2788701.784966163 817339.2647381844, 2788681.513818677 817330.367281661, 2788658.467736329 817313.5897609015, 2788636.796545434 817301.1313257806, 2788582.5844397787 817291.4827068547, 2788561.560397421 817284.0161849278, 2788538.3298266614 817282.1303741533, 2788529.174655502 817278.4193299327, 2788498.7655270076 817279.1592408934, 2788417.7761103488 817266.9038023517, 2788374.621021856 817265.2949555005, 2788313.608122589 817244.2530252828, 2788314.4780165358 817237.2080540401, 2788163.8435750073 817168.4560526384, 2788089.679992865 817170.2888002148, 2788035.278813318 817170.5741075991, 2788000.956554243 817167.5612436963, 2787885.5116595128 817164.7219154245, 2787810.962174287 817167.3347456346, 2787761.730569992 817166.7297054818, 2787706.7033834746 817154.6606588266, 2787665.655239463 817135.4477678214, 2787615.968760517 817108.225187885, 2787590.386228394 817081.568959732, 2787560.1171304905 817042.0058675805, 2787538.844558378 817009.0340719105, 2787499.5870787892 816929.6693532176, 2787436.641743612 816790.4554588353, 2787415.6349496734 816748.9797129689, 2787362.0864031105 816671.5544088127, 2787317.584594358 816643.4812651519, 2787301.361995918 816634.9556350774, 2787247.0730591617 816596.2653294973, 2787128.7537325197 816469.3588465864, 2787095.8258668226 816420.5928485967, 2787068.535708452 816373.3699078788, 2787026.805917755 816308.2003340191, 2786949.9219471673 816129.7506151404, 2786929.518310818 816089.7221420625, 2786906.0896339295 816059.5693904109, 2786889.445401607 816047.1144082593, 2786866.3041031808 816013.375601441, 2786845.2617663145 815992.4003815, 2786787.4527288657 815943.6004824517, 2786733.9644183395 815896.7546583632, 2786676.5428148885 815844.7507532577, 2786662.1769310078 815823.1744303056, 2786653.4683936364 815801.8042935198, 2786625.8082862454 815773.6789024326, 2786614.1194231124 815754.3530171496, 2786570.5715367966 815707.4831044093, 2786554.1572140995 815683.1009489187, 2786516.7375195283 815611.5059857517, 2786448.408952925 815632.8350597097, 2786420.720699154 815639.2586686108, 2786359.8297694447 815676.9633211625, 2786328.9559622994 815734.9999721975, 2786296.8947097566 815718.047515248, 2786246.993979665 815701.5359034776, 2786164.969839878 815671.4827303608, 2786128.5958379735 815643.8558695997, 2786117.3293243703 815629.9462337173, 2786093.7340943264 815592.2869840416, 2786085.233518085 815559.5578063161, 2786051.014176515 815474.000722715, 2786046.4715954526 815454.0439230776, 2786047.672495893 815429.3362297419, 2786052.0295869033 815404.3540660237, 2786040.4746616664 815366.9229030042, 2786028.149782727 815342.5153148362, 2786012.000191984 815295.2332062965, 2785985.874355832 815239.8029353925, 2785959.736341368 815197.3422485812, 2785948.685476521 815172.1827516766, 2785946.978359161 815129.6271569271, 2785954.446758165 815100.9976391781, 2785960.7734948704 815036.6774641873, 2785970.486618662 814990.5664139651, 2785989.9224039963 814927.7631282954, 2785997.128434345 814912.2684432631, 2786036.029814393 814876.7733983755, 2786047.5859149736 814862.6157775801, 2786058.8567340677 814831.5600225412, 2786068.5112329707 814818.6193670409, 2786088.257148125 814801.5074131466, 2786145.8503957875 814770.1588048921, 2786220.9832427404 814737.2862293343, 2786251.8223785404 814728.5340024247, 2786290.4111194503 814710.2233127612))"
2,ANGEL-ZONA ROSA,9015,CUAUHTEMOC,"POLYGON ((2795560.1673101485 827622.4777519393, 2795526.951656758 827685.7824223655, 2795536.8934936165 827792.0572396996, 2795521.781975847 827951.6494518502, 2795523.2055742242 827954.0333315796, 2795924.449353286 828621.3377062521, 2796083.21179926 828913.6226011923, 2796188.97895966 829106.1121187793, 2796249.8165174853 829217.6800765435, 2796339.765660225 829378.6394419378, 2796440.6540119704 829548.8619729487, 2796606.0303912004 829905.6617019204, 2796731.7275368576 830183.1632905996, 2796822.4179457985 830142.7589075635, 2797072.9947394123 830085.7870954544, 2797002.577051725 829823.3063985857, 2796904.574637055 829425.0492667616, 2796850.473830307 829200.4324945825, 2796966.4023975483 829168.9495101869, 2797144.1896944335 829091.7656790544, 2797444.6731195273 828964.2459798405, 2797429.17209112 828900.791434178, 2797407.3721431457 828832.9055559188, 2797372.242248763 828787.7279435009, 2797345.3267978476 828761.3534235003, 2797431.912918692 828572.200242791, 2797536.7426164486 828377.3511987121, 2797589.098907388 828277.3561443344, 2797655.43689469 828153.8103016366, 2797372.774402442 828078.7690471349, 2797243.9507587696 828038.9307342647, 2797066.3827527016 827990.3494343294, 2796784.2006655307 827915.8895874458, 2796305.8326326995 827786.1009450529, 2795902.9874654883 827696.3551719547, 2795560.1673101485 827622.4777519393))"
